Symbol,regular_market_price,regular_market_change,regular_market_change_percent,previous_close,open_value,volume,avg_volume,market_cap,beta,pe_ratio,eps,year_target_est
GME,22.21,-5.46,-19.73%,27.67,21.86,"96,079,620","17,863,455",6.8B,27.67,"1,110.50","1,110.50",5.67
TSLA,177.46,+2.62,+1.50%,174.84,173.75,"77,445,845","97,912,752",565.955B,174.84,45.50,45.50,178.97
AMD,164.46,+1.84,+1.13%,162.62,168.40,"65,944,362","61,930,939",265.818B,162.62,238.35,238.35,187.00
NIO,5.28,+0.02,+0.38%,5.26,5.28,"58,708,428","56,703,895",11.276B,5.26,--,--,--
HOOD,20.08,+2.18,+12.18%,17.90,18.95,"53,207,439","16,436,179",17.647B,17.90,143.43,143.43,20.39
MARA,19.45,-0.20,-1.02%,19.65,20.23,"48,373,464","57,796,230",5.309B,19.65,12.16,12.16,23.56
INTC,31.85,-0.18,-0.56%,32.03,32.03,"41,449,777","50,185,547",135.581B,32.03,32.84,32.84,38.92
AAPL,189.87,+0.03,+0.02%,189.84,189.38,"41,282,925","64,275,736",2.911T,189.84,29.48,29.48,202.26
SOFI,7.28,+0.16,+2.25%,7.12,7.14,"36,606,010","49,618,250",7.697B,7.12,--,--,8.61
NVDA,,-18.80,,943.59,944.94,"35,969,103","50,716,088",2.275T,943.59,77.52,77.52,"1,039.33"
DNN,2.2400,+0.1400,+6.67%,2.1000,2.1000,"35,492,800","15,978,222",2.005B,2.1000,37.33,37.33,3.84
BABA,88.54,+1.84,+2.12%,86.70,87.60,"35,152,879","15,986,290",215.474B,86.70,20.45,20.45,107.20
PLUG,3.2500,-0.1800,-5.25%,3.4300,3.3200,"34,984,239","36,352,100",2.413B,3.4300,--,--,5.86
AMZN,184.70,+1.07,+0.58%,183.63,183.77,"33,175,655","40,450,095",1.922T,183.63,51.88,51.88,226.66
CLSK,16.02,-0.44,-2.70%,16.47,16.83,"31,358,094","35,350,174",3.652B,16.47,123.27,123.27,25.00
KVUE,20.47,-0.13,-0.63%,20.60,20.72,"31,071,005","19,424,082",39.196B,20.60,26.24,26.24,22.40
PLTR,21.76,+0.11,+0.51%,21.65,21.78,"30,032,254","53,036,603",48.457B,21.65,181.33,181.33,21.45
WMT,64.65,+0.64,+1.00%,64.01,64.24,"29,330,381","19,291,120",521.065B,64.01,27.75,27.75,68.17
LCID,2.8400,-0.0400,-1.39%,2.8800,2.8600,"28,836,965","27,877,995",6.552B,2.8800,--,--,3.02
NU,11.66,-0.05,-0.43%,11.71,11.82,"28,184,717","26,385,204",55.748B,11.71,44.85,44.85,11.87
GRAB,3.7200,+0.0700,+1.92%,3.6500,3.6900,"27,337,402","26,577,044",14.705B,3.6500,--,--,4.70
PBR,15.02,-0.21,-1.38%,15.23,15.28,"26,830,559","23,056,109",96.949B,15.23,4.37,4.37,16.90
VALE,12.99,+0.33,+2.61%,12.66,12.74,"26,194,672","27,679,006",55.601B,12.66,7.18,7.18,15.91
PFE,28.64,-0.28,-0.97%,28.92,28.90,"26,106,406","42,474,341",162.291B,28.92,--,--,31.48
T,17.40,+0.10,+0.58%,17.30,17.40,"25,891,151","35,498,461",124.761B,17.30,9.35,9.35,19.58
